Typ zgłoszenia,Klucz zgłoszenia,Id. zgłoszenia,Podsumowanie,Osoba przypisana,ID osoby przypisanej,Osoba zgłaszająca,ID osoby zgłaszającej,Priorytet,Status,Rozwiązanie,Utworzono,Zaktualizowano,Termin
Podzadanie,MA-169,10168,Remove fixed size from event pop up,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,03/kwi/23 12:35 PM,29/sty/25 7:14 PM,
Podzadanie,MA-168,10167,Extract server url,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,31/mar/23 2:09 PM,29/sty/25 8:28 PM,
Story,MA-167,10166,Update Flutter,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,31/mar/23 2:00 PM,29/sty/25 7:14 PM,
Podzadanie,MA-166,10165,Run project on IntelliJ Community,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,29/mar/23 9:20 AM,29/sty/25 8:29 PM,
Zadanie,MA-165,10164,Retrospective - Sprint 8,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,20/lut/23 11:14 AM,29/sty/25 7:14 PM,
Podzadanie,MA-164,10163,Online android/iOS emulator,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Odrzucono,,20/lut/23 10:27 AM,29/sty/25 7:14 PM,
Podzadanie,MA-163,10162,Prepare CI/DI for frontend,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,20/lut/23 10:27 AM,29/sty/25 7:14 PM,
Podzadanie,MA-162,10161,Prepare CI/DI for backend,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,20/lut/23 10:26 AM,29/sty/25 7:14 PM,
Story,MA-161,10160,Refactor frontend - Sprint 9,,,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,20/lut/23 10:23 AM,29/sty/25 7:14 PM,
Story,MA-160,10159,Refactor backend - Sprint 9,,,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,20/lut/23 10:23 AM,29/sty/25 7:14 PM,
Podzadanie,MA-159,10158,Add tests for user widgets,,,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Odrzucono,,17/lut/23 1:41 PM,29/sty/25 7:14 PM,
Podzadanie,MA-158,10157,Add test for progress indicator in user tests,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Odrzucono,,17/lut/23 1:39 PM,29/sty/25 8:28 PM,
Story,MA-157,10156,Refactor frontend - Sprint 10,,,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,17/lut/23 1:38 PM,29/sty/25 7:14 PM,
Podzadanie,MA-156,10155,Auto copying test,,,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Medium,Gotowe,Gotowe,17/lut/23 12:00 PM,29/sty/25 7:14 PM,
